https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8561&result_id=54562,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=87117&tourn_id=10519,***Blake (MN),Blake,8561&result_id=54562
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8699&result_id=54557,https://www.tabroom.com/index/tourn/results/ranked_list.mhtml?event_id=95124&tourn_id=11400,**Strake Jesuit (TX),Strake,8699&result_id=54557
https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=67437&tourn_id=8101,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=89366&tourn_id=10813,***College Prep (CA),College Prep,8101
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9048&result_id=54882,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11784&result_id=86101,**Newark (NJ),Newark,9048&result_id=54882
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8994&result_id=56297,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10701&result_id=81982,**University of Houston (TX),Cougar Classic,8994&result_id=56297
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=7003&result_id=55287,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=10037&result_id=81448,*Arizona State University (AZ),Arizona State HDSHC,7003&result_id=55287
nan,http://www.speechwire.com/r-results.php?tournid=8058&groupingid=1&round=F,*Sunvitational (FL),Sunvite,Error
--,--,*Myers Park (NC),Laird Lewis,Error
https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=73084&tourn_id=8697,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=98038&tourn_id=11652,**University of Puget Sound (WA),Puget Sound,8697
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9158&result_id=54998,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=12159&result_id=81987,*Winston Churchill (TX),Winston Churchill,9158&result_id=54998
https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=70228&tourn_id=7547,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=81809&tourn_id=9578,**Peninsula (CA),Peninsula,7547
--,--,*Mullen High School (CO),Colorado Cup,Error
https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=72609&tourn_id=8649,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11584&result_id=83655,****Harvard-Westlake (CA),Harvard-Westlake,8649
--,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=85342&tourn_id=10081,**Durham Academy (NC),Cavalier,Error
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=8838&result_id=56183,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11552&result_id=83081,***Lexington (MA),Big Lex,8838&result_id=56183
https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=9013&result_id=56953,https://www.tabroom.com/index/tourn/results/event_results.mhtml?tourn_id=11696&result_id=83453,*Lewis & Clark (OR),Jean Ward,9013&result_id=56953
https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=65383&tourn_id=7663,https://www.tabroom.com/index/tourn/results/debate_cumesheet.mhtml?event_id=89193&tourn_id=10796,****Emory (GA),Barkley Forum,7663
